Code_Interne,Nom_Patient_FR,Nom_Patient_AR,Nom_Technique,Categorie_FR,Categorie_AR,Prix_Dhs,Pre_Analytique_FR,Pre_Analytique_AR,Description_Patient_FR,Description_Patient_AR,Tags_FR,Tags_AR,Nombre_Demandes
C  TRIG,Triglycérides,الدهون الثلاثية,TRIGLYCERIDES,Cardiologie,القلب والشرايين,66,"Strictement à jeun (12h). Alcool interdit 24h avant.","صيام إلزامي (12 ساعة). منع الكحول 24 ساعة قبل.","Graisses dans le sang (Risque cardiaque).",دهون في الدم (خطر القلب).,triglycérides; graisses; lipides; cœur; cholestérol,دهون ثلاثية; شحوم; قلب; كوليسترول,1699
I  FERR,Ferritine (Réserve de Fer),الفيريتين (مخزون الحديد),FERRITINE,Anémie/Fer,فقر الدم والحديد,275,À jeun de préférence.,يفضل الصيام.,"Dépistage carence en fer (Chute cheveux, fatigue).",فحص نقص الحديد (تساقط شعر وتعب).,fatigue; chute cheveux; pâleur; fer; anémie; ongles,تعب; سقوط شعر; شحوب; حديد; فقر دم,1482
C  HDL,Cholestérol HDL (Bon),الكوليسترول الجيد,CHOLESTEROL HDL,Cardiologie,القلب والشرايين,55,Strictement à jeun (12h).,صيام إلزامي (12 ساعة).,Le 'Bon' cholestérol protecteur.,الكوليسترول الجيد الواقي.,cholestérol; bon; hdl; protecteur; cœur,كوليسترول جيد; واقي; قلب,1263
C  ACU,Acide Urique (Goutte),حمض البوليك,ACIDE URIQUE,Rhumatologie,الروماتيزم,33,Jeûne préférable.,يفضل الصيام.,Dépistage de la Goutte.,فحص النقرس.,goutte; acide urique; articulations; douleur; orteil,نقرس; حمض بوليك; مفاصل; ألم,1255
HS TP,TP (Coagulation),زمن البروثرومبين,TAUX DE PROTHROMBINE,Coagulation,التخثر,44,Non à jeun. Préciser traitement anticoagulant.,بدون صيام. حدد علاج مضاد التخثر.,Surveillance fluidité du sang (Sintrom).,مراقبة سيولة الدم (سينتروم).,coagulation; sang; anticoagulant; sintrom; inr; tp,تخثر; دم; سيولة; سينتروم,1173
C  LDL,Cholestérol LDL (Mauvais),الكوليسترول الضار,CHOLESTEROL LDL,Cardiologie,القلب والشرايين,55,Calculé ou Dosé. À jeun.,محسوب أو مقاس. صائم.,Le 'Mauvais' cholestérol (Risque artères).,الكوليسترول الضار (خطر الشرايين).,cholestérol; mauvais; ldl; artères; cœur,كوليسترول ضار; سيء; شرايين; قلب,1160
HS TCK,Temps de Céphaline Kaolin,زمن السيفالين,Temps de Cephaline Kaolin,Coagulation,التخثر,44,Non à jeun.,بدون صيام.,Test de coagulation sanguine.,فحص تخثر الدم.,coagulation; sang; tck; hémophilie; saignement,تخثر; دم; نزيف; هيموفيليا,986
V  VITD,Vitamine D,فيتامين د,Vitamine 25 (OH) D2 et 25,Vitamines,الفيتامينات,495,Non à jeun.,بدون صيام.,"Santé des os, immunité, fatigue.",صحة العظام والمناعة والتعب.,vitamine d; os; calcium; fatigue; immunité; soleil,فيتامين د; عظام; كالسيوم; تعب; مناعة,877
T  GRS,Groupe Sanguin,فصيلة الدم,GROUPE SANGUIN RHESUS,Immuno-Hémato,المناعة والدم,66,Non à jeun. Carte d'identité nécessaire.,بدون صيام. البطاقة الوطنية ضرورية.,"Détermine le groupe (A, B, O) et Rhésus.",تحديد الفصيلة والريزوس.,groupe sanguin; rhésus; carte sang; a; b; o; ab,فصيلة دم; ريزوس; بطاقة دم,869
H  VS,Vitesse de Sédimentation (VS),سرعة الترسيب,VITESSE DE SEDIMENTATION,Inflammation,الالتهاب,33,Non à jeun.,بدون صيام.,Marqueur d'inflammation lent.,مؤشر التهاب بطيء.,inflammation; vs; infection; douleur,التهاب; ترسيب; عدوى; ألم,854
EZ GGT,Gamma GT,غاما جي تي,GAMMA G.T.,Bilan Hépatique (Foie),فحص الكبد,55,Jeûne préférable.,يفضل الصيام.,"Marqueur foie (Alcool, médicaments).",مؤشر الكبد (كحول وأدوية).,foie; alcool; médicaments; ggt; gamma; enzymes,كبد; كحول; أدوية; إنزيمات,781
MT PSA,PSA Total (Prostate),مستضد البروستاتا,PSA (PROSTATIC SPECIFIC A,Cancer,السرطان,330,Éviter vélo/rapports 48h avant.,تجنب الدراجة/العلاقة 48 ساعة قبل.,"Dépistage prostate (Hommes >50 ans).",فحص البروستاتا (رجال فوق 50).,prostate; psa; cancer; hommes; urine; nuit,بروستاتا; سرطان; رجال; بول; ليل,762
B  CBU,ECBU (Examen Urines),فحص البول,ECBU,Bactériologie,البكتيريا,99,"Urines du matin, flacon stérile, toilette intime.","بول الصباح، علبة معقمة، نظافة حميمية.",Recherche infection urinaire.,فحص عدوى بولية.,cystite; infection urinaire; brûlures; urines; sang; pus,التهاب المثانة; عدوى بولية; حرقان; بول,737
N  T4L,T4 Libre,هرمون T4 الحر,T4 LIBRE (FT4),Hormonologie,الهرمونات,220,"Le matin, avant prise de Levothyrox.","صباحا، قبل أخذ ليفوثيروكس.",Bilan thyroïdien approfondi.,فحص الغدة الدرقية المفصل.,thyroïde; t4; hormones; fatigue; levothyrox,غدة درقية; هرمون; تعب; ليفوثيروكس,579
C  K,Potassium,البوتاسيوم,POTASSIUM,Bilan Général,فحص عام,33,"Jeûne préférable, éviter hémolyse.",يفضل الصيام. تجنب انحلال الدم.,Important pour le cœur.,مهم للقلب.,potassium; cœur; rythme; crampes; fatigue,بوتاسيوم; قلب; إيقاع; تشنج,557
C  IONO,Ionogramme Sanguin,الأيونات,IONOGRAMME,Bilan Général,فحص عام,110,Jeûne préférable.,يفضل الصيام.,"Sels minéraux (Sodium, Potassium, Chlore).",الأملاح المعدنية (صوديوم وبوتاسيوم).,ionogramme; sels; sodium; potassium; chlore; minéraux,أيونات; أملاح; صوديوم; بوتاسيوم,501
SE VDRL,VDRL (Syphilis),فحص الزهري VDRL,VDRL SANGUIN,MST,الأمراض المنقولة جنسيا,22,Non à jeun.,بدون صيام.,Dépistage Syphilis.,فحص الزهري.,syphilis; mst; vdrl; ist; dépistage,زهري; أمراض جنسية; فحص,412
B  CPR1,Coproparasitologie,فحص طفيليات البراز,COPROPARASITOLOGIE,Parasitologie,الطفيليات,110,Selles fraîches. Éviter huile de paraffine.,براز طازج. تجنب زيت البارافين.,Recherche parasites dans les selles.,فحص الطفيليات في البراز.,parasites; vers; selles; diarrhée; ventre,طفيليات; ديدان; براز; إسهال; بطن,396
EU MIA,Microalbuminurie,زلال البول الدقيق,MICROALBUMINURIE,Bilan Rénal (Reins),فحص الكلى,132,Urines du matin.,بول الصباح.,Dépistage précoce atteinte rénale (diabète).,فحص مبكر لأضرار الكلى (سكري).,reins; albumine; diabète; protéines; urines,كلى; ألبومين; السكري; بروتينات; بول,386
SE TPHA,TPHA (Syphilis),فحص الزهري TPHA,TPHA SANGUIN,MST,الأمراض المنقولة جنسيا,55,Non à jeun.,بدون صيام.,Confirmation Syphilis.,تأكيد الزهري.,syphilis; mst; tpha; confirmation; ist,زهري; أمراض جنسية; تأكيد,381
C  CA,Calcium,الكالسيوم,CALCIUM,Bilan Général,فحص عام,33,Jeûne préférable.,يفضل الصيام.,Bilan des os et parathyroïde.,فحص العظام والغدة جارات الدرقية.,calcium; os; parathyroïde; ostéoporose; vitamine d,كالسيوم; عظام; هشاشة; فيتامين د,373
C  LDLD,Cholestérol LDL,الكوليسترول الضار,CHOLESTEROL LDL,Cardiologie,القلب والشرايين,55,Calculé ou Dosé. À jeun.,محسوب أو مقاس. صائم.,Le 'Mauvais' cholestérol (Risque artères).,الكوليسترول الضار (خطر الشرايين).,cholestérol; mauvais; ldl; artères; cœur,كوليسترول ضار; شرايين; قلب,369
C  NA,Sodium,الصوديوم,SODIUM,Bilan Général,فحص عام,33,Jeûne préférable.,يفضل الصيام.,Équilibre hydrique et tension.,توازن السوائل والضغط.,sodium; sel; tension; œdème; déshydratation,صوديوم; ملح; ضغط; وذمة; جفاف,364
EZ PAL,Phosphatases Alcalines,الفوسفاتاز القلوي,PHOSPH ALCALINES,Bilan Hépatique (Foie),فحص الكبد,55,Jeûne préférable.,يفضل الصيام.,Enzyme du foie et des os.,إنزيم الكبد والعظام.,foie; os; phosphatase; enzymes; pal,كبد; عظام; إنزيمات; فوسفاتاز,350
S  HBV,Hépatite B (Ag HBs),التهاب الكبد ب,HEPATITE B,Sérologie,الفيروسات,132,Non à jeun.,بدون صيام.,Dépistage virus Hépatite B.,فحص فيروس الكبد ب.,hépatite; foie; hépatite b; virus; vaccin; hbs,التهاب كبد; كبد وبائي ب; فيروس,340
S  HVC,Hépatite C (Ac VHC),التهاب الكبد س,HEPATITE C,Sérologie,الفيروسات,330,Non à jeun.,بدون صيام.,Dépistage virus Hépatite C.,فحص فيروس الكبد س.,hépatite; foie; hépatite c; virus; hcv,التهاب كبد; كبد وبائي س; فيروس,322
HS TPIN,Taux De Prothrombine,زمن البروثرومبين,TAUX DE PROTHROMBINE,Coagulation,التخثر,44,Non à jeun.,بدون صيام.,Test de coagulation.,فحص التخثر.,coagulation; tp; inr; sang; anticoagulant,تخثر; سيولة; دم,308
C  BILI,Bilirubine,البيليروبين,BILIRUBINE,Bilan Hépatique (Foie),فحص الكبد,77,Jeûne préférable.,يفضل الصيام.,Pigment biliaire (jaunisse).,صبغة الصفراء (يرقان).,bilirubine; jaunisse; foie; ictère; yeux jaunes,بيليروبين; يرقان; كبد; اصفرار عيون,261
H  COM1,Commentaire Hémato,تعليق أمراض الدم,Commentaire hémato,Hématologie,أمراض الدم,0,Non applicable.,غير قابل للتطبيق.,Commentaire du médecin biologiste.,تعليق الطبيب البيولوجي.,commentaire; analyse; médecin; résultat,تعليق; تحليل; طبيب; نتيجة,257
S  HIV,Anticorps Anti VIH,أجسام مضادة للسيدا,ANTICORPS ANTI HIV,Sérologie,الفيروسات,220,Non à jeun. Confidentiel.,بدون صيام. سري.,Dépistage VIH/SIDA.,فحص السيدا.,vih; sida; hiv; ist; mst; dépistage,سيدا; فيروس; فحص; أمراض جنسية,230
I  TROP,Troponine Ic,التروبونين,TROPONINE Ic,Cardiologie,القلب والشرايين,275,Urgence. Non à jeun.,طوارئ. بدون صيام.,Marqueur d'infarctus du myocarde.,مؤشر احتشاء عضلة القلب.,infarctus; cœur; douleur thoracique; troponine; urgence,احتشاء; قلب; ألم صدر; طوارئ,219
EZ LIPA,Lipases,الليباز,LIPASES,Bilan Hépatique (Foie),فحص الكبد,0,Jeûne préférable.,يفضل الصيام.,Enzyme du pancréas.,إنزيم البنكرياس.,lipase; pancréas; douleur abdominale; enzymes,ليباز; بنكرياس; ألم بطن; إنزيمات,204
SE TOXO,Sérologie Toxoplasmose,فحص داء القطط,SERO TOXOPLASMOSE,Sérologie,الفيروسات,110,Non à jeun. Important grossesse.,بدون صيام. مهم للحمل.,Dépistage toxoplasmose (grossesse).,فحص داء القطط (حمل).,toxoplasmose; grossesse; chat; femme enceinte,داء القطط; حمل; قطة; حامل,183
EU RAAC,Rapport Microalbuminurie/Créatinine,نسبة الزلال للكرياتينين,Rapport Microalbuminurie,Bilan Rénal (Reins),فحص الكلى,165,Urines du matin.,بول الصباح.,Ratio albuminurie (diabète).,نسبة الزلال (سكري).,reins; diabète; albumine; créatinine; urines,كلى; السكري; ألبومين; كرياتينين,181
S  HVAM,Sérologie Hépatite A (IgM),التهاب الكبد أ IgM,SERO HEPATITE A (IGM),Sérologie,الفيروسات,275,Non à jeun.,بدون صيام.,Infection récente Hépatite A.,عدوى حديثة لالتهاب الكبد أ.,hépatite; hépatite a; foie; igm; infection,التهاب كبد أ; كبد; عدوى حديثة,146
M  DROG,Recherche Des Drogues Urinaires,فحص المخدرات في البول,RECHERCHE DES DROGUES URI,Toxicologie,السموم والمخدرات,0,Urines fraîches.,بول طازج.,Dépistage de substances illicites.,فحص المواد المخدرة.,drogues; cannabis; urines; toxicologie; dépistage,مخدرات; حشيش; بول; سموم,142
EU A24H,Albumine 24H,زلال البول 24 ساعة,ALBUMINE 24 H,Bilan Rénal (Reins),فحص الكلى,0,Recueil urines 24h.,جمع بول 24 ساعة.,Protéines urinaires sur 24h.,بروتينات البول على 24 ساعة.,albumine; protéines; urines; reins; 24h,ألبومين; بروتينات; بول; كلى,142
C  ALBS,Albumine,الألبومين,ALBUMINE,Bilan Hépatique (Foie),فحص الكبد,66,Jeûne préférable.,يفضل الصيام.,Protéine du foie.,بروتين الكبد.,albumine; foie; protéines; nutrition,ألبومين; كبد; بروتينات; تغذية,134
B  HELE,Hélicobacter Pylori (Selles),جرثومة المعدة في البراز,HELICOBACTER PYLORI  DANS,Bactériologie,البكتيريا,330,Pas d'antibiotiques/IPP récents.,لا مضادات حيوية/مثبط مضخة الحديثة.,Recherche bactérie de l'estomac.,فحص جرثومة المعدة.,helicobacter; estomac; ulcère; gastrite; douleur,جرثومة معدة; معدة; قرحة; ألم,134
T  GRSG,Groupe Sanguin Rhésus (grossesse),فصيلة الدم (حمل),GROUPE SANGUIN RHESUS  (g,Immuno-Hémato,المناعة والدم,66,Non à jeun. Pour femme enceinte.,بدون صيام. للحامل.,Groupe sanguin pour grossesse.,فصيلة الدم للحمل.,groupe sanguin; rhésus; grossesse; femme enceinte,فصيلة دم; ريزوس; حمل; حامل,130
C  P,Phosphore,الفوسفور,PHOSPHORE,Bilan Général,فحص عام,44,Jeûne préférable.,يفضل الصيام.,Bilan minéral osseux.,فحص المعادن العظمية.,phosphore; os; calcium; parathyroïde; reins,فوسفور; عظام; كالسيوم; كلى,125
EU CLCR,Clairance à la Créatinine,تصفية الكرياتينين,CLAIRANCE A LA CREATININE,Bilan Rénal (Reins),فحص الكلى,55,Urines 24h + prise de sang.,بول 24 ساعة + عينة دم.,Filtration rénale précise.,ترشيح الكلى الدقيق.,clairance; filtration; reins; créatinine; débit,تصفية; ترشيح; كلى; كرياتينين,123
SE RUB,Rubéole IgG,الحصبة الألمانية IgG,RUBEOLE IgG,Sérologie,الفيروسات,0,Non à jeun. Bilan grossesse.,بدون صيام. فحص الحمل.,Immunité rubéole (grossesse).,مناعة الحصبة الألمانية (حمل).,rubéole; grossesse; immunité; vaccin; femme,حصبة ألمانية; حمل; مناعة; لقاح,123
ST TG,Bêta-HCG (Grossesse),هرمون الحمل,TEST DE GROSSESSE,Grossesse,الحمل,110,Non à jeun.,بدون صيام.,Diagnostic précis de grossesse (date).,تشخيص دقيق للحمل (تاريخ).,retard règles; enceinte; nausées; grossesse; hcg,تأخر الدورة; حامل; غثيان; حمل,120
S  HIVM,Anticorps Anti VIH (MSC),أجسام مضادة للسيدا,ANTICORPS ANTI HIV (MSC),Sérologie,الفيروسات,234.3,Non à jeun. Confidentiel.,بدون صيام. سري.,Dépistage VIH/SIDA.,فحص السيدا.,vih; sida; hiv; ist; mst; dépistage,سيدا; فيروس; فحص; أمراض جنسية,119
AI TRES,Test Respiratoire à l'Urée,اختبار التنفس لليوريا,TEST RESPIRATOIRE A L'URE,Bactériologie,البكتيريا,599.5,À jeun. Arrêt IPP 15 jours avant.,صائم. إيقاف مثبط مضخة 15 يوما.,Test H. pylori par respiration.,فحص جرثومة المعدة بالتنفس.,helicobacter; estomac; souffle; test respiratoire,جرثومة معدة; تنفس; اختبار نفس,118
I  TRAA,Ac Anti-Transglutaminase IgA,أجسام مضادة للترانسغلوتاميناز,AC ANTI TRANSGLUTAMINASE A,Immunologie,المناعة,291.5,Non à jeun.,بدون صيام.,Dépistage maladie cœliaque.,فحص الداء الزلاقي.,cœliaque; gluten; intestin; diarrhée; ventre,داء زلاقي; غلوتين; أمعاء; إسهال,114
B  ATBB,Antibiogramme B-,مضادات حيوية B-,ANTIBIOGRAMME B-,Bactériologie,البكتيريا,0,Selon prélèvement.,حسب العينة.,Test de résistance aux antibiotiques.,فحص مقاومة المضادات الحيوية.,antibiogramme; antibiotiques; résistance; bactérie,مضادات حيوية; مقاومة; بكتيريا,112
ZB ATB,Antibiogramme,مضادات حيوية,ANTIBIOGRAMME,Bactériologie,البكتيريا,0,Selon prélèvement.,حسب العينة.,Test de sensibilité aux antibiotiques.,فحص حساسية المضادات الحيوية.,antibiogramme; antibiotiques; bactérie; résistance,مضادات حيوية; بكتيريا; مقاومة,109
C  LATX,Test au Latex,اختبار اللاتكس,TEST AU LATEX,Rhumatologie,الروماتيزم,55,Non à jeun.,بدون صيام.,Facteur rhumatoïde (polyarthrite).,عامل الروماتويد (التهاب مفاصل).,latex; rhumatoïde; polyarthrite; articulations,لاتكس; روماتويد; مفاصل; التهاب,107
C  WR,Waaler Rose,واألر روز,WAALER ROSE,Rhumatologie,الروماتيزم,55,Non à jeun.,بدون صيام.,Facteur rhumatoïde (polyarthrite).,عامل الروماتويد (التهاب مفاصل).,waaler; rhumatoïde; polyarthrite; articulations,واألر روز; روماتويد; مفاصل,107
HS DDIM,D-Dimères,دي دايمر,D DIMERE,Coagulation,التخثر,242,Non à jeun.,بدون صيام.,Dépistage thrombose ou embolie.,فحص الجلطة أو الانسداد.,d-dimères; thrombose; embolie; caillot; poumon,دي دايمر; جلطة; انسداد; رئة,106
EU RALB,Recherche Albumine,بحث عن الألبومين,RECHERCHE ALBUMINE,Bilan Rénal (Reins),فحص الكلى,22,Urines fraîches.,بول طازج.,Dépistage protéines dans urines.,فحص البروتينات في البول.,albumine; protéines; urines; reins,ألبومين; بروتينات; بول; كلى,98
MT ACE,ACE (Marqueur Tumoral),مستضد سرطاني ACE,ACE,Cancer,السرطان,275,Jeûne préférable.,يفضل الصيام.,Marqueur tumoral digestif.,مؤشر ورم هضمي.,ace; cancer; tumeur; côlon; digestif,ايس; سرطان; ورم; قولون; هضمي,98
EU RSUC,Recherche Sucre,بحث عن السكر,RECHERCHE SUCRE,Diabète,السكري,11,Urines fraîches.,بول طازج.,Dépistage sucre dans urines.,فحص السكر في البول.,sucre; urines; diabète; glycosurie,سكر; بول; السكري,94
N  INS,Insuline,الأنسولين,INSULINE,Hormonologie,الهرمونات,330,À jeun strict. Préciser heure.,صيام صارم. حدد الوقت.,Hormone du diabète.,هرمون السكري.,insuline; diabète; pancréas; glycémie; résistance,أنسولين; السكري; بنكرياس; مقاومة,94
EU ACT,Acétone Urines,الأسيتون في البول,ACETONE URINES,Diabète,السكري,11,Urines fraîches.,بول طازج.,Recherche corps cétoniques.,بحث عن الأجسام الكيتونية.,acétone; cétone; diabète; urines; acidose,أسيتون; كيتون; السكري; بول,93
B  RSU,Recherche De Sang Dans Les Selles,بحث عن الدم في البراز,RECHERCHE DE SANG DANS LE,Bactériologie,البكتيريا,33,Selles fraîches. Éviter viande rouge.,براز طازج. تجنب اللحم الأحمر.,Dépistage saignement digestif.,فحص النزيف الهضمي.,sang; selles; hémorragie; côlon; cancer,دم; براز; نزيف; قولون; سرطان,93
S  HELI,Anticorps Anti-Helicobacter,أجسام مضادة لجرثومة المعدة,ANTICORPS ANTI-HELICOBACT,Sérologie,الفيروسات,198,Non à jeun.,بدون صيام.,Sérologie H. pylori.,فحص جرثومة المعدة.,helicobacter; estomac; anticorps; ulcère,جرثومة معدة; أجسام مضادة; قرحة,90
B  CALP,Calprotectine Dans Les Selles,الكالبروتيكتين في البراز,CALPROTECTINE DANS LES SE,Bactériologie,البكتيريا,599.5,Selles fraîches.,براز طازج.,Inflammation intestinale (Crohn).,التهاب الأمعاء (كرون).,calprotectine; crohn; colite; intestin; diarrhée,كالبروتيكتين; كرون; التهاب أمعاء; إسهال,90
EU RLEU,Recherche Des Leucocytes,بحث عن الكريات البيضاء,RECHERCHE DES  LEUCOCYTES,Bactériologie,البكتيريا,11,Urines fraîches.,بول طازج.,Leucocytes dans urines.,كريات بيضاء في البول.,leucocytes; urines; infection; globules blancs,كريات بيضاء; بول; عدوى,89
EU NITR,Nitrites Urines,النتريت في البول,NITRITES URINES,Bactériologie,البكتيريا,33,Urines du matin.,بول الصباح.,Infection urinaire (dépistage).,عدوى بولية (فحص).,nitrites; urines; infection; bactéries,نتريت; بول; عدوى; بكتيريا,89
V  VB12,Vitamine B12,فيتامين ب12,VITAMINE B12,Vitamines,الفيتامينات,440,Non à jeun.,بدون صيام.,Anémie et troubles neurologiques.,فقر الدم واضطرابات عصبية.,vitamine b12; anémie; fatigue; nerfs; fourmillements,فيتامين ب12; فقر دم; تعب; أعصاب,87
B  CBO,Examen Cytobactériologique,فحص خلوي بكتيري,EXAMEN CYTOBACTERIOLOGIQU,Bactériologie,البكتيريا,154,Selon prélèvement.,حسب العينة.,Culture bactérienne autre prélèvement.,زرع بكتيري لعينة أخرى.,culture; bactérie; infection; prélèvement,زرع; بكتيريا; عدوى; عينة,82
N  T3L,T3 Libre,هرمون T3 الحر,T3LIBRE (FT3),Hormonologie,الهرمونات,330,Le matin de préférence.,صباحا يفضل.,Hormone thyroïdienne.,هرمون الغدة الدرقية.,t3; thyroïde; hormones; hyperthyroïdie,هرمون ت3; غدة درقية; فرط نشاط,81
SP SPRG,Spermogramme,فحص السائل المنوي,SPERMOGRAMME,Fertilité,الخصوبة,135.3,Abstinence 3 à 5 jours obligatoire. Au labo.,امتناع 3 إلى 5 أيام إلزامي. في المختبر.,Bilan de fertilité masculine.,فحص الخصوبة الذكورية.,spermogramme; fertilité; sperme; infertilité; hommes,حيوانات منوية; خصوبة; عقم; رجال,81
N  HOMA,HOMA Test,اختبار هوما,HOMA TEST,Diabète,السكري,0,À jeun. Glycémie + Insuline.,صائم. سكر + أنسولين.,Résistance à l'insuline.,مقاومة الأنسولين.,homa; insuline; résistance; diabète; prédiabète,هوما; أنسولين; مقاومة; السكري,81
B  BK,Recherche De BK,بحث عن عصية كوخ,RECHERCHE DE BK,Bactériologie,البكتيريا,71.5,Crachats du matin. 3 jours.,بلغم الصباح. 3 أيام.,Dépistage tuberculose.,فحص السل.,bk; tuberculose; poumons; toux; crachats,عصية كوخ; سل; رئة; سعال; بلغم,75
C  CL,Chlore,الكلور,CHLORE,Bilan Général,فحص عام,33,Jeûne préférable.,يفضل الصيام.,Électrolyte sanguin.,إلكتروليت الدم.,chlore; électrolytes; sel; sodium,كلور; إلكتروليت; ملح; صوديوم,75
B  PARA,Examen Parasitologique,فحص طفيليات,EXAMEN PARASITOLOGIQUE,Parasitologie,الطفيليات,44,Selles fraîches.,براز طازج.,Recherche parasites.,فحص الطفيليات.,parasites; selles; vers; amibes,طفيليات; براز; ديدان; أميبا,72
MT CA15,Antigène CA 15-3,مستضد CA 15-3,ANTIGENE CA 15-3,Cancer,السرطان,440,Non à jeun.,بدون صيام.,Marqueur cancer du sein.,مؤشر سرطان الثدي.,ca15-3; cancer; sein; tumeur; femmes,كا15-3; سرطان; ثدي; ورم; نساء,71
B  RCHL,Recherche Directe De Chlamydia,بحث مباشر عن الكلاميديا,RECHERCHE DIRECT DE CHLAM,Bactériologie,البكتيريا,220,Prélèvement génital.,عينة تناسلية.,Dépistage infection Chlamydia.,فحص عدوى الكلاميديا.,chlamydia; mst; ist; génitale; brûlures,كلاميديا; أمراض جنسية; تناسلية,71
B  RMYC,Recherche Directe De Mycoplasme,بحث مباشر عن الميكوبلازما,RECHERCHE DIRECT DE MYCOP,Bactériologie,البكتيريا,22,Prélèvement génital.,عينة تناسلية.,Dépistage Mycoplasme.,فحص الميكوبلازما.,mycoplasme; mst; ist; génitale,ميكوبلازما; أمراض جنسية; تناسلية,70
I  ANC,Ac Anti-Nucléaires,أجسام مضادة للنوى,AC ANTI-NUCLEAIRES,Immunologie,المناعة,165,Non à jeun.,بدون صيام.,Dépistage maladies auto-immunes.,فحص أمراض المناعة الذاتية.,auto-immun; lupus; anticorps; articulations,مناعة ذاتية; ذئبة; أجسام مضادة,68
I  PCAL,Procalcitonine,البروكالسيتونين,PROCALCITONINE,Inflammation,الالتهاب,440,Urgence. Non à jeun.,طوارئ. بدون صيام.,Infection bactérienne sévère.,عدوى بكتيرية شديدة.,procalcitonine; infection; sepsis; bactérie; urgence,بروكالسيتونين; عدوى; تعفن; بكتيريا,66
C  ASLO,ASLO,أجسام مضادة ستربتوكوك,ASLO,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Infection streptocoque (angine).,عدوى المكورات العقدية (التهاب حلق).,aslo; streptocoque; angine; rhumatisme; cœur,أسلو; مكورات; التهاب حلق; روماتيزم,65
